               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089716,            0.032994,                   0,           0.0031068,             0.93204,             0.13839,            0.041486,            0.065102,            0.017566,                   0,            0.070187,           0.0033125,           0.0033125
                   1,            0.063047,             0.01606,                   0,             0.38863,             0.35275,             0.30211,             0.11833,            0.059228,            0.014712,                   0,            0.040166,           0.0066239,           0.0066239
                   2,            0.059739,            0.012848,                   0,             0.33556,             0.33833,             0.28957,             0.10565,            0.062139,            0.012937,                   0,            0.010122,           0.0099133,           0.0099133
                   3,            0.058951,            0.011315,                   0,             0.40354,             0.46278,             0.37381,             0.13074,            0.061592,            0.012156,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.056039,            0.010433,                   0,              0.4207,             0.47896,              0.4161,             0.15273,            0.056125,            0.011284,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.054108,            0.010155,                   0,             0.50201,             0.48283,             0.45679,              0.1833,             0.05279,            0.010991,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.051818,           0.0095341,                   0,             0.55025,             0.56311,             0.54387,             0.22506,             0.05086,            0.010496,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.05079,           0.0094097,                   0,               0.562,             0.56311,             0.52334,             0.21256,            0.050767,            0.010714,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.04949,           0.0090583,                   0,             0.47743,              0.4583,             0.41601,             0.16336,            0.054429,            0.012508,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.049639,           0.0088175,                   0,             0.58384,             0.59476,             0.56474,             0.25703,            0.051017,            0.010246,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.048663,           0.0086047,                   0,              0.5115,              0.4466,             0.42197,             0.17047,            0.052785,            0.014244,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.047621,           0.0087093,                   0,             0.60366,             0.62783,             0.54413,             0.23712,            0.049891,            0.010087,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.046894,           0.0086437,                   0,             0.60749,             0.56958,             0.55846,             0.24161,            0.049903,            0.010274,                   0,            0.009637,            0.009637,            0.009637
