                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2333,                 6.9941,                 1.7063,                0.63109,                0.59227,                0.58974,                0.26227,                 1.7139,                 1.6124,                 1.3927,               0.070145,              0.0033172,              0.0033172
                      1,                  1.845,                 2.0844,                  1.523,                0.63958,                 0.5794,                0.56649,                0.24068,                 1.8337,                 1.6314,                 1.5005,               0.040123,              0.0066286,              0.0066286
                      2,                 1.9006,                 2.2664,                 1.5877,                0.33577,                0.38197,                0.32837,                0.11203,                 1.7531,                 2.3861,                 1.6432,               0.010079,               0.009918,               0.009918
                      3,                  1.924,                  2.261,                   1.63,                0.44506,                0.49356,                0.43417,                0.16744,                 1.8516,                  1.972,                 1.6392,               0.009901,               0.009901,               0.009901
                      4,                 1.8903,                 1.9899,                 1.5685,                0.36427,                0.33047,                0.33312,                0.13121,                 2.0127,                 2.1798,                 1.7128,               0.009901,               0.009901,               0.009901
                      5,                 1.9058,                 1.9121,                 1.6352,                0.42663,                0.46306,                0.38299,                0.16977,                 1.8375,                 1.8784,                 1.6158,               0.009868,               0.009868,               0.009868
                      6,                 1.9151,                 1.8312,                 1.6476,                0.55179,                0.53219,                0.47396,                0.21024,                 1.8304,                  1.781,                 1.6354,               0.009835,               0.009835,               0.009835
                      7,                 1.8832,                 1.7637,                  1.628,                0.48971,                0.56016,                 0.4898,                0.21385,                 1.7992,                 1.7948,                 1.5968,               0.009802,               0.009802,               0.009802
                      8,                 1.8611,                 1.8014,                 1.6122,                0.54793,                0.60944,                0.54194,                 0.2427,                 1.7058,                 1.6453,                 1.5502,               0.009769,               0.009769,               0.009769
                      9,                 1.8443,                 1.7697,                 1.6108,                0.55393,                0.54506,                0.55093,                0.23649,                 1.7171,                 1.7562,                 1.5902,               0.009736,               0.009736,               0.009736
                     10,                 1.8163,                 1.6727,                 1.6054,                 0.4976,                0.56652,                 0.4721,                0.22028,                  1.695,                 1.6912,                  1.581,               0.009703,               0.009703,               0.009703
                     11,                 1.7844,                 1.6453,                 1.5638,                0.56354,                0.55794,                0.54589,                0.22716,                 1.7629,                 1.7232,                 1.5663,                0.00967,                0.00967,                0.00967
                     12,                 1.7886,                 1.6442,                 1.5676,                0.68889,                0.53218,                   0.59,                0.25443,                 1.6879,                 1.6517,                  1.517,               0.009637,               0.009637,               0.009637
                     13,                  1.773,                 1.5925,                 1.5588,                0.60415,                0.55023,                0.54673,                0.24695,                 1.6196,                 1.6713,                 1.4889,               0.009604,               0.009604,               0.009604
                     14,                 1.7314,                  1.567,                 1.5087,                0.62799,                0.58798,                0.58047,                0.26334,                 1.7197,                 1.5762,                 1.5135,               0.009571,               0.009571,               0.009571
                     15,                 1.7434,                  1.565,                 1.5422,                  0.559,                0.48418,                0.51056,                0.21119,                 1.7904,                 1.7849,                 1.6645,               0.009538,               0.009538,               0.009538
                     16,                 1.7349,                 1.5942,                  1.542,                 0.6599,                0.60515,                0.63096,                0.28458,                 1.6577,                 1.5667,                 1.5101,               0.009505,               0.009505,               0.009505
                     17,                 1.7191,                 1.5151,                 1.5398,                0.61483,                0.61803,                0.59687,                0.25018,                 1.6816,                 1.6272,                  1.523,               0.009472,               0.009472,               0.009472
                     18,                 1.7115,                 1.4954,                 1.5231,                0.59009,                 0.6611,                0.62451,                0.27629,                 1.6954,                 1.5303,                 1.5223,               0.009439,               0.009439,               0.009439
                     19,                 1.7051,                 1.5046,                 1.5236,                0.55207,                0.57082,                0.56766,                0.25439,                 1.6299,                 1.7033,                 1.5252,               0.009406,               0.009406,               0.009406
                     20,                 1.6973,                 1.4787,                 1.5098,                0.67539,                0.58798,                0.64838,                0.27439,                 1.6864,                 1.6293,                 1.5628,               0.009373,               0.009373,               0.009373
                     21,                 1.6752,                 1.4979,                 1.5052,                0.64931,                0.58369,                0.61855,                0.27793,                 1.6785,                 1.5952,                 1.5012,                0.00934,                0.00934,                0.00934
                     22,                 1.6756,                 1.4343,                 1.4964,                0.62765,                0.57877,                0.58246,                0.25425,                 1.7191,                 1.5956,                 1.5493,               0.009307,               0.009307,               0.009307
                     23,                 1.6797,                 1.4463,                 1.4902,                0.62986,                0.55794,                0.56171,                0.24488,                 1.6966,                 1.6816,                 1.5316,               0.009274,               0.009274,               0.009274
                     24,                 1.6719,                 1.3942,                 1.4867,                0.66521,                0.59695,                0.61351,                0.26956,                 1.6747,                 1.5307,                 1.5177,               0.009241,               0.009241,               0.009241
                     25,                  1.658,                 1.4214,                 1.4834,                 0.5865,                0.61483,                 0.5904,                0.27485,                 1.6459,                 1.6143,                 1.5009,               0.009208,               0.009208,               0.009208
                     26,                 1.6567,                 1.3819,                 1.4768,                0.65287,                0.62661,                0.65419,                0.29391,                 1.6569,                 1.4776,                 1.4966,               0.009175,               0.009175,               0.009175
                     27,                 1.6455,                 1.3832,                 1.4603,                0.72044,                0.57511,                0.63532,                0.27177,                 1.7349,                 1.5817,                 1.5064,               0.009142,               0.009142,               0.009142
